Series Name,Series Code,Country Name,Country Code,1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,United States,USA,3.29336238703934,5.25889534832913,5.64571947321326,-0.540546529606971,-0.205464005057081,5.38813922012807,4.62415921177256,5.53530269624309,3.16615026772367,-0.256751936461413,2.53771870053738,-1.80287445201735,4.58392730884007,7.23662000401062,4.16965594529771,3.46265172126709,3.45957255449522,4.177046383082,3.67265632838441,1.88596032430949,-0.108259104705525,3.52244248662824,2.75284432663625,4.02883906807251,2.6842871338757,3.7725013199817,4.44721633956435,4.48140755308913,4.75323599078349,4.12748401141975,0.998340800315447,1.74169524302894,2.86121077200275,3.79889112264793,3.51321379594287,2.85497229827358,1.87617145523009,-0.136579804247219,-2.53675706962862,2.56376656343198,1.55083550424324,2.24954585097743,1.84208107011949,2.52597345040711,2.90802186128343,1.63783845703892,2.36980078440416,2.92732573232968,2.16117628829923
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,China,CHN,7.06000000335179,3.80999999825444,7.7600000016445,2.31000000049113,8.72000000047512,-1.57000000275067,7.56999999917166,11.3259779901995,7.5913246800003,7.83414501593799,5.11276109058912,9.01711391382203,10.7702025065715,15.1915400236134,13.4306775204064,8.94996176438008,11.6574277931357,11.222594982521,4.20633435547815,3.92025136776569,9.26278608462174,14.2245295924457,13.8837293020436,13.0368066326902,10.9539543420185,9.92255675288459,9.23677989169124,7.84595178733933,7.66165150045002,8.49009340601468,8.33573347821324,9.13363078988934,10.0380304808371,10.1136213778964,11.3945918098662,12.7209556651723,14.2308609332879,9.65067891934387,9.39872563258297,10.6358710645426,9.55083217886425,7.86373644864966,7.76615009763002,7.42576365632598,7.04132887877194,6.84876220493844,6.94720079330668,6.74977383254181,5.94971423266418
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Japan,JPN,4.69899204241511,8.41354725507968,8.03259997480662,-1.2252398273517,3.09157591621214,3.97498409101011,4.39033795005732,5.27194150307386,5.48404183248606,2.81759120723146,4.20933646563483,3.31245673720389,3.52304498510716,4.50199481591629,5.23338094710242,3.32652561629175,4.73066586024558,6.78502010941374,4.85803768641544,4.89271306580787,3.41749676156724,0.848069581386284,-0.517919847163228,0.993066363346571,2.74214032190356,3.09999929079811,1.0760452342591,-1.12840982877319,-0.251954272065987,2.77963282512113,0.406335903187042,0.117992776889338,1.52822014817859,2.20468788221162,1.662670405285,1.42000655604306,1.65418388105051,-1.09354060044625,-5.41641279666185,4.19173925854747,-0.115421339757418,1.49508958593034,2.00026784118108,0.374719476350435,1.2229210410615,0.521944455486121,2.16829073737318,0.323207337906922,0.654151650202522
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Germany,DEU,3.13269973811248,4.30034133420232,4.77748689217385,0.890068740587211,-0.866738894227723,4.94925837665457,3.34721812001672,3.00849285673846,4.15036334066737,1.40882863572145,0.529240556536067,-0.394840774795966,1.57241016952116,2.82294780997955,2.32793526226367,2.28733922127036,1.40215162742055,3.70723565949591,3.89655169214447,5.25500608278011,5.10826152190214,1.923076559054,-0.976849818160517,2.39189207051331,1.54414649556445,0.80582289149001,1.79216082094591,2.01393278519326,1.88726115399444,2.91250296366708,1.68146848097079,-0.197973834771361,-0.700116686114356,1.17508813160987,0.731707163554191,3.816441912988,2.97645513131597,0.95987913356484,-5.69383633640285,4.17988249873657,3.92519270463411,0.418497594217598,0.437591303144671,2.20954343134872,1.49193152760772,2.22999986782015,2.60197600462604,1.26799523225071,0.555450887945668
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,India,IND,1.64293038388746,-0.553301312377599,3.29552113522355,1.18533626034041,9.14991201480568,1.66310363661293,7.2547645858358,5.71253208900177,-5.23818270278925,6.73582152799834,6.00620362381754,3.47573324031229,7.28889290124583,3.82073785597366,5.25429922330882,4.77656417048958,3.96535563390586,9.62778291984819,5.94734332826501,5.53345456306511,1.05683143294308,5.48239602167047,4.75077621965234,6.65892406734025,7.57449184032379,7.5495222488198,4.0498208490926,6.18441582090618,8.84575556105509,3.84099115681285,4.82396626390641,3.8039753213758,7.86038147553259,7.92293661286503,7.92343062149763,8.06073257303272,7.66081506504928,3.08669805953289,7.86188883303498,8.49758470158106,5.2413447428854,5.45635895072287,6.38610640094825,7.41022760508854,7.99625344413879,8.2563058441893,7.04382085537057,6.11958684136602,4.18072762475113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/25/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
